cad,singing,ID,date,region
0.1409,1,XC215991,2015-03-03,Boyaca
0.1585,3,XC215991,2015-03-03,Boyaca
0.0969,3,XC215991,2015-03-03,Boyaca
0.1145,2,XC215991,2015-03-03,Boyaca
0.0897,3,XC245523,2015-04-08,Casanare
0.066,1,XC245523,2015-04-08,Casanare
0.1346,1,XC245523,2015-04-08,Casanare
0.0686,2,XC245523,2015-04-08,Casanare
0.1029,3,XC245523,2015-04-08,Casanare
0.0633,2,XC245523,2015-04-08,Casanare
0.1054,1,XC245534,2015-04-09,Casanare
0.1476,1,XC245534,2015-04-09,Casanare
0.0316,3,XC245534,2015-04-09,Casanare
0.1476,1,XC245534,2015-04-09,Casanare
0.1845,2,XC245534,2015-04-09,Casanare
0.116,2,XC245534,2015-04-09,Casanare
0.1423,3,XC245534,2015-04-09,Casanare
0.1792,3,XC245534,2015-04-09,Casanare
0.1054,2,XC245534,2015-04-09,Casanare
0.0726,1,XC245584,2015-04-11,Casanare
0.0391,1,XC245584,2015-04-11,Casanare
0.095,3,XC245584,2015-04-11,Casanare
0.0223,2,XC245584,2015-04-11,Casanare
0.0335,3,XC245584,2015-04-11,Casanare
0.0223,2,XC245584,2015-04-11,Casanare
0.1206,1,XC299429,2014-02-13,Risaralda
0.1419,3,XC299429,2014-02-13,Risaralda
0.1348,1,XC299429,2014-02-13,Risaralda
0.1348,3,XC299429,2014-02-13,Risaralda
0.1135,2,XC299429,2014-02-13,Risaralda
0.0709,2,XC299429,2014-02-13,Risaralda
0.0456,1,XC302211,2016-01-31,Quindio
0.0456,2,XC302211,2016-01-31,Quindio
0.0497,1,XC302211,2016-01-31,Quindio
0.0456,3,XC302211,2016-01-31,Quindio
0.0373,2,XC302211,2016-01-31,Quindio
0.0331,3,XC302211,2016-01-31,Quindio
0.1973,1,XC312397,2016-04-01,Cundinamarca
0.11,3,XC312397,2016-04-01,Cundinamarca
0.1067,3,XC312397,2016-04-01,Cundinamarca
