"","ID","singing","year","temperature","precipitation","max_temp","min_temp","elevation","date","region","low_freq_hz","high_freq_hz","delta_time_s","peak_freq_hz","total_elements","note","cad","month","quarter"
"86","ML168748811",2,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1225,1786.5,1.463,1636.5,3,"t",0.068,7,3
"87","ML168748811",2,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1225,1786.5,1.463,1636.5,3,"t",0.158,7,3
"88","ML168748811",3,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1209.2,1796.2,0.367,1636.5,3,"d",0.136,7,3
"89","ML168748811",3,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1209.2,1796.2,0.367,1636.5,3,"d",0.09,7,3
"90","ML168748811",3,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1480.2,1760.9,0.375,1636.5,3,"d",0.136,7,3
"91","ML168748811",3,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1480.2,1760.9,0.375,1636.5,3,"d",0.09,7,3
"92","ML168748811",3,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1222,1684.4,0.446,1464.3,3,"d",0.136,7,3
"93","ML168748811",3,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1222,1684.4,0.446,1464.3,3,"d",0.09,7,3
"94","ML168748811",3,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1183.7,1783.5,1.419,1636.5,3,"t",0.136,7,3
"95","ML168748811",3,2019,16.5489951932924,6.80353415382064,15.7603931269779,15.1221411668305,1193.996582,2019-07-06,"Risaralda",1183.7,1783.5,1.419,1636.5,3,"t",0.09,7,3
"96","ML176085171",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1362.9,1799,0.443,1636.5,3,"d",0.131,9,4
"97","ML176085171",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1362.9,1799,0.443,1636.5,3,"d",0.148,9,4
"98","ML176085171",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1253.9,1690,0.361,1464.3,3,"d",0.131,9,4
"99","ML176085171",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1253.9,1690,0.361,1464.3,3,"d",0.148,9,4
"100","ML176085171",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1144.8,1908.1,0.281,1722.7,3,"d",0.131,9,4
"101","ML176085171",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1144.8,1908.1,0.281,1722.7,3,"d",0.148,9,4
"102","ML176085171",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1144.8,1908.1,1.37,1722.7,3,"t",0.131,9,4
"103","ML176085171",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1144.8,1908.1,1.37,1722.7,3,"t",0.148,9,4
"104","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",899.5,1799,0.357,1550.4,4,"d",0.246,9,4
"105","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",899.5,1799,0.357,1550.4,4,"d",0.15,9,4
"106","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",899.5,1799,0.357,1550.4,4,"d",0.145,9,4
"107","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",799.6,1899,0.061,1550.4,4,"a",0.246,9,4
"108","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",799.6,1899,0.061,1550.4,4,"a",0.15,9,4
"109","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",799.6,1899,0.061,1550.4,4,"a",0.145,9,4
"110","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1099.4,1899,0.286,1722.7,4,"d",0.246,9,4
"111","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1099.4,1899,0.286,1722.7,4,"d",0.15,9,4
"112","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1099.4,1899,0.286,1722.7,4,"d",0.145,9,4
"113","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",699.6,1899,1.686,1722.7,4,"t",0.246,9,4
"114","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",699.6,1899,1.686,1722.7,4,"t",0.15,9,4
"115","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",699.6,1899,1.686,1722.7,4,"t",0.145,9,4
"116","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",899.5,1799,0.432,1722.7,4,"d",0.246,9,4
"117","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",899.5,1799,0.432,1722.7,4,"d",0.15,9,4
"118","ML176085171",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",899.5,1799,0.432,1722.7,4,"d",0.145,9,4
"119","ML176085171",3,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1161.1,1658.7,0.359,1464.3,3,"d",0.183,9,4
"120","ML176085171",3,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1161.1,1658.7,0.359,1464.3,3,"d",0.152,9,4
"121","ML176085171",3,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1216.4,1824.6,0.281,1636.5,3,"d",0.183,9,4
"122","ML176085171",3,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1216.4,1824.6,0.281,1636.5,3,"d",0.152,9,4
"123","ML176085171",3,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",981.9,1700.6,1.379,1636.5,3,"t",0.183,9,4
"124","ML176085171",3,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",981.9,1700.6,1.379,1636.5,3,"t",0.152,9,4
"125","ML176085171",3,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1327,1879.9,0.401,1636.5,3,"d",0.183,9,4
"126","ML176085171",3,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,2753.991943,2019-09-07,"Boyaca",1327,1879.9,0.401,1636.5,3,"d",0.152,9,4
"127","ML176342261",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,1518.926636,2019-09-03,"Tolima",1308,1700.4,0.178,1550.4,3,"d",0.124,9,4
"128","ML176342261",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,1518.926636,2019-09-03,"Tolima",1308,1700.4,0.178,1550.4,3,"d",0.129,9,4
"129","ML176342261",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,1518.926636,2019-09-03,"Tolima",1098.7,1700.4,1.154,1550.4,3,"t",0.124,9,4
"130","ML176342261",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,1518.926636,2019-09-03,"Tolima",1098.7,1700.4,1.154,1550.4,3,"t",0.129,9,4
"131","ML176342261",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,1518.926636,2019-09-03,"Tolima",1098.7,1595.8,0.388,1464.3,3,"d",0.124,9,4
"132","ML176342261",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,1518.926636,2019-09-03,"Tolima",1098.7,1595.8,0.388,1464.3,3,"d",0.129,9,4
"133","ML176342261",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,1518.926636,2019-09-03,"Tolima",1281.9,1674.3,0.329,1550.4,3,"d",0.124,9,4
"134","ML176342261",1,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,1518.926636,2019-09-03,"Tolima",1281.9,1674.3,0.329,1550.4,3,"d",0.129,9,4
"135","ML176342261",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,1518.926636,2019-09-03,"Tolima",915.6,1700.4,0.394,1550.4,4,"d",0.146,9,4
"136","ML176342261",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,1518.926636,2019-09-03,"Tolima",915.6,1700.4,0.394,1550.4,4,"d",0.124,9,4
"137","ML176342261",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,1518.926636,2019-09-03,"Tolima",915.6,1700.4,0.394,1550.4,4,"d",0.232,9,4
"138","ML176342261",2,2019,15.9112152585333,8.39518269516572,15.2482890455048,14.5672614418286,1518.926636,2019-09-03,"Tolima",915.6,1778.9,1.757,1550.4,4,"t",0.146,9,4
