ID,year,temperature,precipitation,max_temp,min_temp,elevation,date,region,low_freq_hz,high_freq_hz,delta_time_s,peak_freq_hz,total_elements,note,singing
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,1098.7,1700.4,1.154,1550.4,3,t,1
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,1151.1,1752.8,0.07,1636.5,4,a,2
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,1098.7,1595.8,0.388,1464.3,3,d,1
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,915.6,1700.4,0.394,1550.4,4,d,2
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,915.6,1778.9,1.757,1550.4,4,t,2
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,1219.1,1749.2,0.091,1636.5,4,a,3
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,1245.6,1802.2,0.435,1550.4,4,d,3
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,1007.1,1616.6,0.435,1464.3,4,d,3
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,1272.1,1669.7,0.328,1550.4,4,d,3
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,962.6,1757.7,1.708,1550.4,4,t,3
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,1203.4,1778.9,0.367,1550.4,4,d,2
ML176342261,2019,15.58434494,14.64236863,15.61417426,14.89023188,1518.926636,2019-09-03,Tolima,1017.5,1514.6,0.399,1464.3,4,d,2
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1010.6,1776.2,0.401,1550.4,4,d,2
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1216,1837.5,0.104,1722.7,4,a,2
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1297.1,1837.5,0.425,1722.7,4,d,2
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,994.4,1781.9,1.755,1722.7,4,t,1
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1155,1811.2,0.374,1550.4,4,d,1
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1312.5,1890,0.414,1722.7,4,d,1
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1102.5,1890,0.104,1636.5,4,a,1
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1260,1890,0.363,1722.7,4,d,1
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1163.7,1898.7,0.115,1722.7,4,a,2
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1316.9,1898.7,0.417,1722.7,4,d,2
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1255.6,1898.7,0.521,1722.7,4,d,2
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1010.6,1898.7,1.934,1550.4,4,t,2
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1243,1918.6,0.537,1722.7,4,d,2
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1080.9,1837.5,1.934,1722.7,4,t,2
ML215054161,2016,20.10379821,8.973234083,19.60282073,18.95739818,964.2814941,2016-04-01,Cundinamarca,1080.9,1837.5,0.398,1550.4,4,d,2
ML215584781,2020,19.43482193,11.13503208,18.71743204,17.89367098,647.1864014,2020-03-01,Cundinamarca,1198.4,1643.5,0.381,1550.4,3,d,1
ML215584781,2020,19.43482193,11.13503208,18.71743204,17.89367098,647.1864014,2020-03-01,Cundinamarca,992.9,1780.4,0.325,1636.5,3,d,1
ML215584781,2020,19.43482193,11.13503208,18.71743204,17.89367098,647.1864014,2020-03-01,Cundinamarca,1232.6,1814.7,0.392,1636.5,3,d,1
ML215584781,2020,19.43482193,11.13503208,18.71743204,17.89367098,647.1864014,2020-03-01,Cundinamarca,924.5,1746.2,1.379,1636.5,3,t,1
ML215584781,2020,19.43482193,11.13503208,18.71743204,17.89367098,647.1864014,2020-03-01,Cundinamarca,1266.8,1814.7,0.289,1722.7,3,d,2
ML215584781,2020,19.43482193,11.13503208,18.71743204,17.89367098,647.1864014,2020-03-01,Cundinamarca,1027.2,1609.2,0.396,1464.3,3,d,2
ML215584781,2020,19.43482193,11.13503208,18.71743204,17.89367098,647.1864014,2020-03-01,Cundinamarca,1095.7,1814.7,0.408,1636.5,3,d,2
ML215584781,2020,19.43482193,11.13503208,18.71743204,17.89367098,647.1864014,2020-03-01,Cundinamarca,1027.2,1814.7,1.376,1636.5,3,t,2
ML215584781,2020,19.43482193,11.13503208,18.71743204,17.89367098,647.1864014,2020-03-01,Cundinamarca,1230.9,1926.7,0.305,1808.8,3,d,3
ML215584781,2020,19.43482193,11.13503208,18.71743204,17.89367098,647.1864014,2020-03-01,Cundinamarca,749.3,1605.6,0.432,1464.3,3,d,3
ML215584781,2020,19.43482193,11.13503208,18.71743204,17.89367098,647.1864014,2020-03-01,Cundinamarca,909.8,1873.2,0.456,1636.5,3,d,3
ML215584781,2020,19.43482193,11.13503208,18.71743204,17.89367098,647.1864014,2020-03-01,Cundinamarca,749.3,1926.7,1.447,1636.5,3,d,3
ML246946471,2019,18.62716382,1.75155381,17.86366462,17.26560041,920.2996826,2019-12-09,Cundinamarca,1283.5,1854.7,0.329,1722.7,3,d,1
ML246946471,2019,18.62716382,1.75155381,17.86366462,17.26560041,920.2996826,2019-12-09,Cundinamarca,998.2,1663.7,0.395,1464.3,3,d,1
ML246946471,2019,18.62716382,1.75155381,17.86366462,17.26560041,920.2996826,2019-12-09,Cundinamarca,1140.9,1806.4,0.366,1636.5,3,d,1
ML246946471,2019,18.62716382,1.75155381,17.86366462,17.26560041,920.2996826,2019-12-09,Cundinamarca,1045.8,1853.9,1.393,1636.5,3,d,1
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,769.2,1752,0.363,1550.4,4,d,1
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,1239.2,1794.8,0.384,1722.7,4,d,1
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,749.3,1953.5,1.866,1808.8,4,t,1
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,1272.1,1966,0.107,1808.8,4,a,2
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,1079.4,1966,0.448,1808.8,4,d,2
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,732.4,1773.3,0.363,1550.4,4,d,2
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,771,1966,0.341,1722.7,4,d,2
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,732.4,1966,1.749,1722.7,4,t,2
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,1154.2,2069.7,0.117,1808.8,4,a,3
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,995,1990.1,0.448,1808.8,4,d,3
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,676.6,1830.9,0.363,1550.4,4,d,3
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,636.8,1990.1,0.352,1808.8,4,d,3
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,636.8,2068.9,1.77,1808.8,4,t,3
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,1495.6,1965.7,0.16,1808.8,4,a,1
ML253740121,2020,13.62083332,2.577581897,13.33729602,12.61659289,2613.200439,2020-08-04,Cundinamarca,1581.1,1923,0.213,1808.8,4,d,1
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,735,1755.8,0.361,1378.1,4,d,1
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,401.2,1789.5,0.33,1722.7,4,d,1
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,571.7,1960,1.846,1808.8,4,t,1
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,1057.7,1955.1,0.134,1808.8,4,a,2
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,820.5,1948.6,0.458,1722.7,4,d,2
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,743.5,1666.6,0.367,1550.4,4,d,2
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,1153.8,1974.2,0.33,1808.8,4,d,2
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,743.5,1999.9,1.839,1808.8,4,t,2
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,1118.1,1976.2,0.141,1808.8,4,a,3
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,988.1,1924.2,0.458,1722.7,4,d,3
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,702.1,1768.2,0.361,1550.4,4,d,3
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,1470,1919.2,0.116,1808.8,4,a,1
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,1143.3,1960,0.532,1808.8,4,d,1
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,676.1,1976.2,1.858,1722.7,4,t,3
ML264215601,2020,13.45776394,7.224285802,13.13358654,12.45011048,2613.200439,2020-09-17,Cundinamarca,728.1,1924.2,0.342,1722.7,4,d,3
ML265449341,2020,13.43587576,1.2355298,13.18482839,12.45137219,2753.991943,2020-08-21,Boyaca,1371,1885.1,0.365,1722.7,3,d,1
